# Number of Traces
8953
# TraceId; FracturesId1; FracturesId2; X1; Y1; Z1; X2; Y2; Z2
16; 0; 26; 4.1214775570511974e-01; 3.3754492262866687e-01; 7.1575364390421525e-01; 1.2167662632580099e+00; 1.0578259344637149e+00; 2.5582791889830919e-01
17; 0; 27; 5.4791543509131835e-01; 1.9665762037848161e-01; 4.4939187070681930e-01; 6.2399363593143753e-01; 2.7095336560096178e-01; 4.1035865958343387e-01
18; 0; 28; 7.9451118965859713e-01; 1.4362359683984477e-01; 1.1151029967997411e-01; 4.2260710331222473e-01; 3.5521995491490821e-01; 7.1575364390421525e-01
19; 0; 30; 5.7403650178584775e-01; 6.1111732133279584e-01; 7.1575364390421525e-01; 1.0475053817602296e+00; 5.9617088837425924e-01; 1.2950498735934901e-01
20; 0; 34; 6.7937235502902737e-01; 1.1886689283009916e-01; 2.3365377219778793e-01; 7.3629201080148643e-01; 1.0346418874015734e-01; 1.5338951415290175e-01
21; 0; 36; 7.4468804137430222e-01; 8.0215791286502219e-02; 1.2646213875909951e-01; 7.5277619156484943e-01; 5.6081350219676585e-01; 4.6231440723778494e-01
22; 0; 38; 1.0681508547930547e+00; 1.1792310457582953e+00; 5.2379290312599858e-01; 7.6148085806529298e-01; 9.2787561004884989e-01; 7.1575364390421514e-01
23; 0; 40; 6.4789227538993777e-01; 1.3749549221890417e-01; 2.8531672402617536e-01; 8.3665327654060950e-01; 5.3154888978243164e-01; 3.3931302240246652e-01
24; 0; 41; 4.9502299103976755e-01; 2.2795716479601341e-01; 5.3619532928917435e-01; 4.6290854937686260e-01; 3.5327508470205626e-01; 6.6536862390274676e-01
25; 0; 42; 7.2578956895742863e-01; 8.6756164869904751e-01; 7.1575364390421514e-01; 9.8842882855904846e-01; 8.8928076430958125e-01; 4.1213959584631765e-01
26; 0; 45; 4.9858674151224291e-01; 4.8361635292447502e-01; 7.1575364390421525e-01; 4.6073800030592726e-01; 2.6331944010692526e-01; 6.0330379519617283e-01
27; 0; 46; 4.5921008186873069e-01; 4.1707456115434216e-01; 7.1575364390421525e-01; 6.7321281126453636e-01; 3.6549069272237522e-01; 4.1853172506897734e-01
28; 0; 47; 8.3124025173977567e-01; 2.0569126898482695e-01; 1.1151029967997411e-01; 9.6689638286310331e-01; 7.7037010387665616e-01; 3.5278230747569472e-01
29; 0; 49; 8.9115998556464193e-01; 3.0694837121729041e-01; 1.1151029967997411e-01; 6.2009043828382726e-01; 6.8894290329905050e-01; 7.1575364390421525e-01
30; 0; 51; 7.5243417681835578e-01; 7.5631951103978773e-02; 1.1374971150699753e-01; 1.3057008128945302e+00; 1.0140384370991042e+00; 1.1623323062822744e-01
31; 0; 52; 9.2750722944224717e-01; 5.7972734573730988e-01; 2.6353439958262059e-01; 4.8971293468948029e-01; 3.8047406876901158e-01; 6.5235171712019557e-01
32; 0; 53; 4.5025524385634208e-01; 2.5444885215451013e-01; 6.0966509152353809e-01; 6.1566768522490556e-01; 4.5252655529004077e-01; 5.5108039216721627e-01
33; 0; 55; 6.2943558887931883e-01; 7.0473507740968999e-01; 7.1575364390421525e-01; 8.7573440082375265e-01; 8.0110631251206865e-01; 4.8569691904144163e-01
34; 0; 56; 1.1009971655759714e+00; 6.6154782338911355e-01; 1.1151029967997411e-01; 8.0230879101508468e-01; 8.1929571818344682e-01; 5.8802845855067276e-01
35; 0; 57; 4.7183312091074114e-01; 4.3840597024399330e-01; 7.1575364390421525e-01; 5.6628884715130323e-01; 5.0431853437411522e-01; 6.4835284524305536e-01
36; 0; 58; 6.6830759762213510e-01; 1.2541455520676492e-01; 2.5181249464889799e-01; 5.7470586577934457e-01; 5.9702908671625921e-01; 7.0480667967075483e-01
37; 0; 61; 7.7412515606084131e-01; 9.4924294419848265e-01; 7.1575364390421514e-01; 5.7860394970629825e-01; 5.0918578850802310e-01; 6.3688483549788677e-01
38; 0; 62; 8.2591853851540631e-01; 1.0367674955840991e+00; 7.1575364390421514e-01; 1.1114428911667824e+00; 1.0731223255681754e+00; 3.9485007719616488e-01
39; 0; 63; 9.1156206109264115e-01; 3.4142541101074408e-01; 1.1151029967997411e-01; 7.7157490875668366e-01; 8.4893778245728380e-01; 6.4670615574873946e-01
