# Number of Traces
474
# TraceId; FracturesId1; FracturesId2; X1; Y1; Z1; X2; Y2; Z2
11; 1; 9; 2.4737078092931286e-01; 3.5605342080728519e-01; 6.7759570734018326e-01; 3.8178907118053834e-01; 6.6944388434470625e-01; 8.0165881330822009e-01
12; 1; 10; 5.8365501952545895e-01; 3.2351081711985608e-01; 6.7759570734018326e-01; 5.0961083307961708e-01; 7.0973632576159151e-01; 8.2167545877766013e-01
13; 1; 11; -7.0958593573146378e-02; 3.8685851211857164e-01; 6.7759570734018326e-01; -7.3415462871097403e-02; 3.9733272557026361e-01; 6.8148655805889713e-01
14; 1; 14; 6.9745247592223747e-01; 3.1249850937799600e-01; 6.7759570734018326e-01; 8.3212151409630175e-01; 3.8387255475346516e-01; 7.0967824647673017e-01
15; 1; 17; 8.6970752876353474e-01; 7.7227369332359674e-01; 8.5869098062460814e-01; 3.8808960525450220e-01; 9.2832248409340101e-01; 9.0028962219507536e-01
16; 1; 18; 8.2906501404763244e-01; 3.5228771902525091e-01; 6.9756050978110784e-01; 3.7726019182148801e-01; 4.5490379412566889e-01; 7.1994611849282852e-01
17; 1; 19; 8.7632886245431740e-01; 8.4069631187258431e-01; 8.8494178283666436e-01; 6.4053352900710481e-01; 1.1278799681823106e+00; 9.8542638993839837e-01
18; 1; 21; 8.2501555948069161e-01; 3.1044202779374641e-01; 6.8150612619801632e-01; 7.5849221411552592e-01; 4.0957655255191699e-01; 7.1674000133760329e-01
19; 1; 25; -2.7729411385841435e-01; 7.8273481981414883e-01; 8.2047770297365208e-01; -3.6786817254728210e-02; 9.5217799737434927e-01; 8.9372904543905862e-01
20; 1; 26; -6.2718862134329867e-02; 6.8592664831997152e-01; 7.9157377941339757e-01; 5.5938689219126114e-01; 6.6480779006532287e-01; 8.0642912824446256e-01
21; 1; 27; 8.2499036364008371e-01; 3.1018166251517160e-01; 6.8140623529094935e-01; 8.0147900848813924e-01; 3.3102859003747931e-01; 6.8846529129663991e-01
22; 1; 28; 5.6957841550485522e-01; 3.2487302591031181e-01; 6.7759570734018326e-01; 8.2218691665155452e-01; 4.3329187709551364e-01; 7.2809697927517969e-01
23; 1; 29; 6.9578898358420094e-01; 3.1265948740099164e-01; 6.7759570734018326e-01; 8.2896926429644568e-01; 3.5129827354378707e-01; 6.9718090230357577e-01
24; 1; 30; 8.8334043657939743e-01; 9.1315154282645550e-01; 9.1273972418024463e-01; 7.4317919471503213e-01; 7.5882469990203016e-01; 8.4892503301492628e-01
25; 1; 34; -1.4797090185180972e-01; 3.9431107973764579e-01; 6.7759570734018326e-01; 1.9772505182585121e-01; 1.1707310421502735e+00; 9.8542638993839837e-01
26; 1; 35; -3.5206503003725353e-02; 3.8339874213572989e-01; 6.7759570734018326e-01; 7.9281883252977570e-01; 6.6058617176359435e-01; 8.1341069975408486e-01
27; 1; 36; 6.5981327273671020e-01; 3.1614089736944817e-01; 6.7759570734018326e-01; 7.7108422904993268e-01; 4.0159554998409430e-01; 7.1416960880056668e-01
28; 1; 40; 8.4759839871950238e-01; 5.4380543570373585e-01; 7.7103758223532937e-01; 7.1794693722448433e-01; 1.1203885856714080e+00; 9.8542638993839837e-01
29; 1; 42; 2.0813666298046463e-01; 3.5985015049275976e-01; 6.7759570734018326e-01; 8.6684385759643257e-01; 9.6988203256510230e-01; 9.3369604633362657e-01
30; 1; 43; 8.6738234289919469e-01; 7.4824601055136131e-01; 8.4947259697540023e-01; 6.7003460018143002e-02; 7.0757113793562909e-01; 8.0457229578388478e-01
31; 1; 44; 3.8369156713745145e-01; 3.4286150512771085e-01; 6.7759570734018326e-01; 7.9465504659190478e-01; 8.3721762985273807e-01; 8.8061538259264283e-01
32; 1; 45; 1.0061783356846243e-01; 1.1801282167907832e+00; 9.8542638993839837e-01; 3.6013511649330698e-01; 3.4754451505014572e-01; 6.7850924299571491e-01
33; 1; 46; 7.1068703866665339e-01; 3.1121778586812859e-01; 6.7759570734018326e-01; 7.4354386912080228e-01; 4.3603949445264567e-01; 7.2624865775325165e-01
34; 1; 47; 6.0941598883678372e-01; 3.2101789916924928e-01; 6.7759570734018326e-01; 8.4160536768583116e-01; 4.8187548389659979e-01; 7.4727773570552480e-01
